Rname,RSet,mips,Mips定义,定义文件,Format文件,InstrItinClass文件,ISA文件
lbu,std,lbu,def LBu:,MipsInstrInfo.td,MipsInstrFormats.td,MipsSchedule.td,MipsInstrInfo.td
ld,std,ld,def LD:,MipsInstrInfo.td,MipsInstrFormats.td,MipsSchedule.td,MipsInstrInfo.td
lh,std,lh,def LH:,MipsInstrInfo.td,MipsInstrFormats.td,MipsSchedule.td,MipsInstrInfo.td
lhu,std,lhu,def LHu:,MipsInstrInfo.td,MipsInstrFormats.td,MipsSchedule.td,MipsInstrInfo.td
lw,std,lw,def LW:,MipsInstrInfo.td,MipsInstrFormats.td,MipsSchedule.td,MipsInstrInfo.td
lwu,std,lwu,def LWu:,MipsInstrInfo.td,MipsInstrFormats.td,MipsSchedule.td,MipsInstrInfo.td
lui,std,lui,def LUi:,MipsInstrInfo.td,MipsInstrFormats.td,MipsSchedule.td,MipsInstrInfo.td
mret,std,eret,def ERET:,MipsInstrInfo.td,MipsInstrFormats.td,MipsSchedule.td,MipsInstrInfo.td
or,std,or,def OR: ,MipsInstrInfo.td,MipsInstrFormats.td,MipsSchedule.td,MipsInstrInfo.td
ori,std,ori,def ORi:,MipsInstrInfo.td,MipsInstrFormats.td,MipsSchedule.td,MipsInstrInfo.td
sb,std,sb,def SB:,MipsInstrInfo.td,MipsInstrFormats.td,MipsSchedule.td,MipsInstrInfo.td
sd,std,sd,def SD:,MipsInstrInfo.td,MipsInstrFormats.td,MipsSchedule.td,MipsInstrInfo.td
sfence.vma,std,synci,def SYNCI:,MipsInstrInfo.td,MipsInstrFormats.td,MipsSchedule.td,MipsInstrInfo.td
sh,std,sh,def SH:,MipsInstrInfo.td,MipsInstrFormats.td,MipsSchedule.td,MipsInstrInfo.td
sw,std,sw,def SW:,MipsInstrInfo.td,MipsInstrFormats.td,MipsSchedule.td,MipsInstrInfo.td
sll,std,sllv,def SLLV:,MipsInstrInfo.td,MipsInstrFormats.td,MipsSchedule.td,MipsInstrInfo.td
slli,std,sll,def SLL:,MipsInstrInfo.td,MipsInstrFormats.td,MipsSchedule.td,MipsInstrInfo.td
slliw,std,dsll,def DSLL:,Mips64InstrInfo.td,MipsInstrFormats.td,MipsSchedule.td,MipsInstrInfo.td
sllw,std,dsllv,def DSLLV:,Mips64InstrInfo.td,MipsInstrFormats.td,MipsSchedule.td,MipsInstrInfo.td
slt,std,slt,def SLT:,MipsInstrInfo.td,MipsInstrFormats.td,MipsSchedule.td,MipsInstrInfo.td
slti,std,slti,def SLTi:,MipsInstrInfo.td,MipsInstrFormats.td,MipsSchedule.td,MipsInstrInfo.td
sltiu,std,sltiu,def SLTiu:,MipsInstrInfo.td,MipsInstrFormats.td,MipsSchedule.td,MipsInstrInfo.td
sltu,std,sltu,def SLTu:,MipsInstrInfo.td,MipsInstrFormats.td,MipsSchedule.td,MipsInstrInfo.td
sra,std,srav,def SRAV:,MipsInstrInfo.td,MipsInstrFormats.td,MipsSchedule.td,MipsInstrInfo.td
srai,std,sra,def SRA:,MipsInstrInfo.td,MipsInstrFormats.td,MipsSchedule.td,MipsInstrInfo.td
sraiw,std,dsra,def DSRA:,Mips64InstrInfo.td,MipsInstrFormats.td,MipsSchedule.td,MipsInstrInfo.td
sraw,std,dsrav,def DSRAV:,Mips64InstrInfo.td,MipsInstrFormats.td,MipsSchedule.td,MipsInstrInfo.td
sret,std,eret,def ERET:,MipsInstrInfo.td,MipsInstrFormats.td,MipsSchedule.td,MipsInstrInfo.td
srl,std,srlv,def SRLV:,MipsInstrInfo.td,MipsInstrFormats.td,MipsSchedule.td,MipsInstrInfo.td
srli,std,srl,def SRL:,MipsInstrInfo.td,MipsInstrFormats.td,MipsSchedule.td,MipsInstrInfo.td
srliw,std,dsrl,def DSRL:,Mips64InstrInfo.td,MipsInstrFormats.td,MipsSchedule.td,MipsInstrInfo.td
srlw,std,dsrlv,def DSRLV:,Mips64InstrInfo.td,MipsInstrFormats.td,MipsSchedule.td,MipsInstrInfo.td
sub,std,sub,def SUB:,MipsInstrInfo.td,MipsInstrFormats.td,MipsSchedule.td,MipsInstrInfo.td
subw,std,dsub,def DSUB:,Mips64InstrInfo.td,MipsInstrFormats.td,MipsSchedule.td,MipsInstrInfo.td
wfi,std,wait,def WAIT,MipsInstrInfo.td,MipsInstrFormats.td,MipsSchedule.td,MipsInstrInfo.td
xor,std,xor,def XOR:,MipsInstrInfo.td,MipsInstrFormats.td,MipsSchedule.td,MipsInstrInfo.td
xori,std,xori,def XORi:,MipsInstrInfo.td,MipsInstrFormats.td,MipsSchedule.td,MipsInstrInfo.td
uret,std,eret,def ERET:,MipsInstrInfo.td,MipsInstrFormats.td,MipsSchedule.td,MipsInstrInfo.td
fence.tso,std,sync,def SYNC:,MipsInstrInfo.td,MipsInstrFormats.td,MipsSchedule.td,MipsInstrInfo.td
